DRR000839	AMPLICON
DRR000840	AMPLICON
DRR000979	AMPLICON
DRR001167	AMPLICON
DRR001168	AMPLICON
DRR001169	AMPLICON
DRR001170	AMPLICON
DRR001368	AMPLICON
DRR001369	AMPLICON
DRR001475	AMPLICON
DRR001479	AMPLICON
DRR001521	AMPLICON
DRR001522	AMPLICON
DRR001523	AMPLICON
DRR001524	AMPLICON
DRR001525	AMPLICON
DRR001526	AMPLICON
DRR001527	AMPLICON
DRR001528	AMPLICON
DRR001529	AMPLICON
DRR001530	AMPLICON
DRR001531	AMPLICON
DRR001532	AMPLICON
DRR001533	AMPLICON
DRR001534	AMPLICON
DRR001535	AMPLICON
DRR001536	AMPLICON
DRR001537	AMPLICON
DRR001538	AMPLICON
DRR001539	AMPLICON
DRR001540	AMPLICON
DRR001541	AMPLICON
DRR001542	AMPLICON
DRR001543	AMPLICON
DRR001544	AMPLICON
DRR001545	AMPLICON
DRR001546	AMPLICON
DRR001547	AMPLICON
DRR001548	AMPLICON
DRR001549	AMPLICON
DRR001550	AMPLICON
DRR001556	AMPLICON
DRR001557	AMPLICON
DRR002656	WGS
DRR002657	WGS
DRR002658	WGS
DRR002659	WGS
DRR002660	WGS
DRR002661	WGS
DRR002662	WGS
DRR002663	WGS
DRR002664	WGS
DRR002665	WGS
DRR002666	WGS
DRR002667	WGS
DRR002668	WGS
DRR002669	AMPLICON
DRR002671	AMPLICON
DRR002672	AMPLICON
DRR002673	AMPLICON
DRR002674	AMPLICON
DRR002675	AMPLICON
DRR002676	AMPLICON
DRR002677	AMPLICON
DRR002678	AMPLICON
DRR002679	AMPLICON
DRR002680	AMPLICON
DRR002681	AMPLICON
DRR002739	AMPLICON
DRR002740	AMPLICON
DRR002741	AMPLICON
DRR002742	AMPLICON
DRR002743	AMPLICON
DRR002744	AMPLICON
DRR002745	AMPLICON
DRR002746	AMPLICON
DRR002747	AMPLICON
DRR002748	AMPLICON
DRR002749	AMPLICON
DRR002750	AMPLICON
DRR002751	AMPLICON
DRR002752	AMPLICON
DRR002753	AMPLICON
DRR002754	AMPLICON
DRR002755	AMPLICON
DRR002756	AMPLICON
DRR003612	WGS
DRR003613	WGS
DRR003614	WGS
DRR003615	WGS
DRR003616	WGS
DRR003617	WGS
DRR003618	WGS
DRR003619	WGS
DRR003620	WGS
DRR003621	WGS
DRR003622	WGS
DRR003623	WGS
DRR003624	WGS
DRR003625	WGS
DRR003626	WGS
DRR003627	WGS
DRR003628	WGS
DRR003629	WGS
DRR003630	WGS
DRR003631	WGS
DRR003632	WGS
DRR003633	WGS
DRR003634	WGS
DRR003635	WGS
DRR003636	WGS
DRR003637	WGS
DRR003638	WGS
DRR003639	WGS
DRR003640	WGS
DRR003641	WGS
DRR003642	WGS
DRR003643	WGS
DRR003644	WGS
DRR003645	WGS
DRR012606	AMPLICON
DRR012607	AMPLICON
DRR012608	AMPLICON
DRR012609	AMPLICON
DRR012699	AMPLICON
DRR012700	AMPLICON
DRR012701	AMPLICON
DRR012702	AMPLICON
DRR012703	AMPLICON
DRR012704	AMPLICON
DRR012705	AMPLICON
DRR012706	AMPLICON
DRR012707	AMPLICON
DRR012708	AMPLICON
DRR012709	AMPLICON
DRR012710	AMPLICON
DRR012711	AMPLICON
DRR013835	AMPLICON
DRR013836	AMPLICON
DRR013837	AMPLICON
DRR013838	AMPLICON
DRR013839	AMPLICON
DRR013840	AMPLICON
DRR013841	AMPLICON
DRR013842	AMPLICON
DRR013843	AMPLICON
DRR013844	AMPLICON
DRR013845	AMPLICON
DRR013846	AMPLICON
DRR014042	AMPLICON
DRR014146	WGS
DRR014147	WGS
DRR014148	WGS
DRR014149	WGS
DRR014150	WGS
DRR014151	WGS
DRR014152	WGS
DRR014153	WGS
DRR014154	WGS
DRR014155	WGS
DRR014156	WGS
DRR014157	WGS
DRR014158	WGS
DRR014159	WGS
DRR014160	WGS
DRR014161	WGS
DRR014162	WGS
DRR014163	WGS
DRR014164	WGS
DRR014165	WGS
DRR014166	WGS
DRR014167	WGS
DRR014168	WGS
DRR014169	WGS
DRR014170	WGS
DRR014171	WGS
DRR014172	WGS
DRR014173	WGS
DRR014174	WGS
DRR014175	WGS
DRR014176	WGS
DRR014177	WGS
DRR014178	WGS
DRR014179	WGS
DRR014180	WGS
DRR014181	WGS
DRR014182	WGS
DRR014183	WGS
DRR014184	WGS
DRR014185	WGS
DRR014257	WGS
DRR014258	WGS
DRR014259	WGS
DRR014260	WGS
DRR014261	WGS
DRR014312	AMPLICON
DRR014530	AMPLICON
DRR014531	AMPLICON
DRR014532	AMPLICON
DRR014533	AMPLICON
DRR014534	AMPLICON
DRR014535	AMPLICON
DRR014536	AMPLICON
DRR014537	AMPLICON
DRR014538	AMPLICON
DRR014539	AMPLICON
DRR014540	AMPLICON
DRR014541	AMPLICON
DRR014542	AMPLICON
DRR014543	AMPLICON
DRR014544	AMPLICON
DRR014545	AMPLICON
DRR014546	AMPLICON
DRR014547	AMPLICON
DRR014854	AMPLICON
DRR014855	AMPLICON
DRR014856	AMPLICON
DRR014857	AMPLICON
DRR014858	AMPLICON
DRR014859	AMPLICON
DRR014860	AMPLICON
DRR014861	AMPLICON
DRR014862	AMPLICON
DRR014863	AMPLICON
DRR014864	AMPLICON
DRR014865	AMPLICON
DRR014866	AMPLICON
DRR014867	AMPLICON
DRR014868	AMPLICON
DRR014869	AMPLICON
DRR014870	AMPLICON
DRR014871	AMPLICON
DRR014872	AMPLICON
